serial_number,stock_code,stock_abbr,report_period,report_year,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,source_file
26,000999,华润三九,2023FY,2023,0.0,2473896.33,0.0,0.0,285293.17,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,11.5321,0.0,华润三九：2023年年度报告摘要.pdf
27,000999,华润三九,2024Q1,2024,0.0,729407.06,14.823705522832986,0.0,136382.6,20.563062437887517,0.0,0.0,0.0,0.0,132800.0,0.0,53.4206,18.6977,0.0,华润三九：2024年一季度报告.pdf
28,000999,华润三九,2024Q3,2024,0.0,1974028.7,6.084913128252422,0.0,56147.27,17.910301073340413,0.0,0.0,0.0,0.0,0.0,0.0,52.6802,2.8443,0.0,华润三九：2024年三季度报告.pdf
29,000999,华润三九,2024FY,2024,0.0,1410601.28,-42.980582375495096,0.0,230859.72,-19.079829355886783,0.0,0.02,0.0,0.0,230900.0,0.0,53.5633,16.3661,0.0,华润三九：2024年半年度报告.pdf
30,000999,华润三九,2024FY,2024,0.0,1410601.28,0.0,0.0,230859.72,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,16.3661,0.0,华润三九：2024年半年度报告摘要.pdf
31,000999,华润三九,2024FY,2024,0.02,2761661.18,95.77900709121717,0.0,0.01,-99.99999566836519,0.0,0.02,0.02,0.0,311800.0,0.0,14.1779,0.0,0.0,华润三九：2024年年度报告.pdf
32,000999,华润三九,2024FY,2024,0.0,2761661.18,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,华润三九：2024年年度报告摘要.pdf
33,000999,华润三九,2025Q1,2025,0.0,685365.64,-6.037975557845579,0.0,121825.48,-10.673736972311724,0.0,0.0,0.0,0.0,0.0,-100.0,53.2783,17.7753,0.0,华润三九：2025年一季度报告.pdf
34,000999,华润三九,2025Q3,2025,0.0,2198640.4,11.378340142673709,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5178,0.0,0.0,华润三九：2025年三季度报告.pdf
35,000999,华润三九,2025FY,2025,0.0,1481016.02,-46.37227655856031,0.0,181525.84,1815258300.0,0.0,0.01,0.0,0.0,0.0,0.0,53.5443,12.2568,0.0,华润三九：2025年半年度报告.pdf
36,000999,华润三九,2025FY,2025,0.0,1481016.02,0.0,0.0,181525.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.2568,0.0,华润三九：2025年半年度报告摘要.pdf
