serial_number,stock_code,stock_abbr,report_period,report_year,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,source_file
21,000999,华润三九,2023Q1,2023,2074632727.57,0.0,30116.69,0.0015,585737.76,125222.16,0.006,274.5,19991.99,76840.92,23839.38,52174.59,0.0025,华润三九：2023年一季度报告.pdf
22,000999,华润三九,2023Q3,2023,3764199183.85,0.0,305017.51,0.0081,2014736.85,25679.48,0.0007,106774.5,93637.86,329553.62,161006.14,45163.0,0.0012,华润三九：2023年三季度报告.pdf
23,000999,华润三九,2023FY,2023,3632772977.12,0.0,177200.0,0.0049,1332634.65,85975.61,0.0024,8274.5,36331.51,281231.44,71966.67,99538.56,0.0027,华润三九：2023年半年度报告.pdf
24,000999,华润三九,2023FY,2023,0.0,-100.0,177192.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2023年半年度报告摘要.pdf
25,000999,华润三九,2023FY,2023,3853676935.95,0.0,419174.29,0.0109,2748566.69,-79349.8,-0.0021,318199.56,222863.58,357809.1,183629.33,45042.47,0.0012,华润三九：2023年年度报告.pdf
26,000999,华润三九,2023FY,2023,0.0,-100.0,419174.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2023年年度报告摘要.pdf
27,000999,华润三九,2024Q1,2024,508968059.36,-75.46707652895508,78657.82,0.0155,680020.2,-25070.34,-0.0049,101601.68,85737.08,12434.17,10575.26,-2633.37,-0.0005,华润三九：2024年一季度报告.pdf
28,000999,华润三九,2024Q3,2024,-818316153.13,-121.73944876883563,320426.77,-0.0392,1990001.95,-208923.84,0.0255,571242.35,419216.64,71140.43,98256.98,-193337.28,0.0236,华润三九：2024年三季度报告.pdf
29,000999,华润三九,2024FY,2024,-1059708910.91,0.0,236311.48,-0.0223,1385627.22,-191083.48,0.018,396601.68,233689.54,50140.01,50240.14,-151226.72,0.0143,华润三九：2024年半年度报告.pdf
30,000999,华润三九,2024FY,2024,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2024年半年度报告摘要.pdf
31,000999,华润三九,2024FY,2024,-1353935822.77,0.0,78657.82,-0.0058,2794703.58,-113040.96,0.0083,783242.35,750826.2,100678.36,268151.41,-462860.22,0.0342,华润三九：2024年年度报告.pdf
32,000999,华润三九,2024FY,2024,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2024年年度报告摘要.pdf
33,000999,华润三九,2025Q1,2025,1247488080.7,145.10144747956272,97985.51,0.0079,734222.79,-183784.79,-0.0147,246202.09,212237.97,228202.53,14224.92,210537.5,0.0169,华润三九：2025年一季度报告.pdf
34,000999,华润三九,2025Q3,2025,-838704376.33,-2.491484876843329,292535.98,-0.0349,2335187.18,-536497.43,0.064,757064.48,718912.05,521166.34,253380.38,160481.91,-0.0191,华润三九：2025年三季度报告.pdf
35,000999,华润三九,2025FY,2025,-112152325.25,0.0,286019.49,-0.255,1668886.89,-552719.59,0.4928,476636.03,407355.97,399264.39,90731.36,255498.68,-0.2278,华润三九：2025年半年度报告.pdf
36,000999,华润三九,2025FY,2025,0.0,100.0,286019.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2025年半年度报告摘要.pdf
